Response (M ohm),Time (s),LA Concentration (mM),distance between electrode (mm)
1.44E+07,140,0.11,1
1.38E+07,160,0.11,1
1.39E+07,180,0.11,1
1.39E+07,200,0.11,1
1.38E+07,220,0.11,1
1.38E+07,240,0.11,1
1491790,1,0.055,1
1.48E+07,20,0.055,1
1.46E+07,40,0.055,1
1.44E+07,60,0.055,1
1.43E+07,80,0.055,1
1.43E+07,100,0.055,1
1.45E+07,120,0.055,1
1.37E+07,260,0.55,1
1.31E+07,280,0.55,1
1.32E+07,300,0.55,1
1.32E+07,320,0.55,1
1.30E+07,340,0.55,1
1.32E+07,360,0.55,1
1.18E+07,500,5.55,1
1.02E+07,520,5.55,1
1.00E+07,540,5.55,1
1.00E+07,560,5.55,1
1.00E+07,580,5.55,1
1.00E+07,600,5.55,1
9.94E+06,620,11.1,1
7.61E+06,640,11.1,1
7.52E+06,660,11.1,1
7.41E+06,680,11.1,1
7.25E+06,700,11.1,1
7.21E+06,720,11.1,1
7.24E+06,740,11.1,1
1.29E+07,380,1.11,1
1.20E+07,400,1.11,1
1.19E+07,420,1.11,1
1.19E+07,440,1.11,1
1.19E+07,460,1.11,1
1.19E+07,480,1.11,1
35400,20,1.11,5
26600,40,1.11,5
25000,60,1.11,5
24300,80,1.11,5
24200,100,1.11,5
23800,120,1.11,5
108000,20,1.11,7
49200,40,1.11,7
48800,60,1.11,7
48700,80,1.11,7
48500,100,1.11,7
55700,120,1.11,7
18300,20,1.11,3
15500,40,1.11,3
15500,60,1.11,3
15600,80,1.11,3
15600,100,1.11,3
15600,120,1.11,3
