Time (s),Response (M ohm),LA Concentration (mM),distance between electrode (mm),
2,1.44E+07,140,0.11,1
3,1.38E+07,160,0.11,1
4,1.39E+07,180,0.11,1
5,1.39E+07,200,0.11,1
6,1.38E+07,220,0.11,1
7,1.38E+07,240,0.11,1
8,1491790,1,0.055,1
9,1.48E+07,20,0.055,1
10,1.46E+07,40,0.055,1
11,1.44E+07,60,0.055,1
12,1.43E+07,80,0.055,1
13,1.43E+07,100,0.055,1
14,1.45E+07,120,0.055,1
15,1.37E+07,260,0.55,1
16,1.31E+07,280,0.55,1
17,1.32E+07,300,0.55,1
18,1.32E+07,320,0.55,1
19,1.30E+07,340,0.55,1
20,1.32E+07,360,0.55,1
21,1.18E+07,500,5.55,1
22,1.02E+07,520,5.55,1
23,1.00E+07,540,5.55,1
24,1.00E+07,560,5.55,1
25,1.00E+07,580,5.55,1
26,1.00E+07,600,5.55,1
27,9.94E+06,620,11.1,1
28,7.61E+06,640,11.1,1
29,7.52E+06,660,11.1,1
30,7.41E+06,680,11.1,1
31,7.25E+06,700,11.1,1
32,7.21E+06,720,11.1,1
33,7.24E+06,740,11.1,1
34,1.29E+07,380,1.11,1
35,1.20E+07,400,1.11,1
36,1.19E+07,420,1.11,1
37,1.19E+07,440,1.11,1
38,1.19E+07,460,1.11,1
39,1.19E+07,480,1.11,1
40,35400,20,1.11,5
41,26600,40,1.11,5
42,25000,60,1.11,5
43,24300,80,1.11,5
44,24200,100,1.11,5
45,23800,120,1.11,5
46,108000,20,1.11,7
47,49200,40,1.11,7
48,48800,60,1.11,7
49,48700,80,1.11,7
50,48500,100,1.11,7
51,55700,120,1.11,7
52,18300,20,1.11,3
53,15500,40,1.11,3
54,15500,60,1.11,3
55,15600,80,1.11,3
56,15600,100,1.11,3
57,15600,120,1.11,3
