Time(s),Resistance (Mohm),LA Conc (mM),Electrode Distance (mm)
1,81.2,1.11,3
2,81.2,1.11,3
3,81.2,1.11,3
4,81.2,1.11,3
5,81.2,1.11,3
6,81.2,1.11,3
7,81.2,1.11,3
8,81.2,1.11,3
9,81.2,1.11,3
10,81.2,1.11,3
11,81.2,1.11,3
12,81.2,1.11,3
13,81.2,1.11,3
14,81.2,1.11,3
15,81.2,1.11,3
16,81.2,1.11,3
17,81.2,1.11,3
18,81.2,1.11,3
19,81.2,1.11,3
20,81.2,1.11,3
21,81.2,1.11,3
22,81.2,1.11,3
23,81.2,1.11,3
24,81.2,1.11,3
25,81.2,1.11,3
26,81.2,1.11,3
27,81.2,1.11,3
28,81.2,1.11,3
29,81.2,1.11,3
30,81.2,1.11,3
31,81.2,1.11,3
32,81.2,1.11,3
33,81.2,1.11,3
34,81.2,1.11,3
35,81.2,1.11,3
36,81.2,1.11,3
37,81.2,1.11,3
38,81.2,1.11,3
39,81.2,1.11,3
40,81.2,1.11,3
41,81.2,1.11,3
42,81.2,1.11,3
43,81.2,1.11,3
44,81.2,1.11,3
45,81.2,1.11,3
46,81.2,1.11,3
47,81.2,1.11,3
48,81.2,1.11,3
49,81.2,1.11,3
50,81.2,1.11,3
51,81.2,1.11,3
52,81.2,1.11,3
53,81.2,1.11,3
54,81.2,1.11,3
55,81.2,1.11,3
56,81.2,1.11,3
57,81.2,1.11,3
58,81.2,1.11,3
59,81.2,1.11,3
60,81.2,1.11,3
61,81.2,1.11,3
62,81.2,1.11,3
63,81.2,1.11,3
64,81.2,1.11,3
65,81.2,1.11,3
66,81.2,1.11,3
67,81.2,1.11,3
68,81.2,1.11,3
69,81.2,1.11,3
70,81.2,1.11,3
71,81.2,1.11,3
72,81.2,1.11,3
73,81.2,1.11,3
74,81.2,1.11,3
75,81.2,1.11,3
76,81.2,1.11,3
77,81.2,1.11,3
78,81.2,1.11,3
79,81.2,1.11,3
80,81.2,1.11,3
81,81.2,1.11,3
82,81.2,1.11,3
83,81.2,1.11,3
84,81.2,1.11,3
85,81.2,1.11,3
86,81.2,1.11,3
87,81.2,1.11,3
88,81.2,1.11,3
89,81.2,1.11,3
90,81.2,1.11,3
91,81.2,1.11,3
92,81.2,1.11,3
93,81.2,1.11,3
94,81.2,1.11,3
95,81.2,1.11,3
96,81.2,1.11,3
97,81.2,1.11,3
98,81.2,1.11,3
99,81.2,1.11,3
100,81.2,1.11,3
101,81.2,1.11,3
102,81.2,1.11,3
103,81.2,1.11,3
104,81.2,1.11,3
105,81.2,1.11,3
106,81.2,1.11,3
107,81.2,1.11,3
108,81.2,1.11,3
109,81.2,1.11,3
