Vdrain,FG,FG (micro A),gas conc. (ppm)
0,5.30E-12,0.0000053,0
0.2,1.43E-08,0.0143,0
0.4,2.85E-08,0.0285,0
0.6,4.25E-08,0.0425,0
0.8,5.69E-08,0.0569,0
1,7.15E-08,0.0715,0
1.2,8.63E-08,0.0863,0
1.4,1.01E-07,0.101319,0
1.6,1.16E-07,0.1164,0
1.8,1.34E-07,0.133618,0
2,1.50E-07,0.150083,0
2.2,1.67E-07,0.167458,0
2.4,1.85E-07,0.18534,0
2.6,2.04E-07,0.204147,0
2.8,2.25E-07,0.225076,0
3,2.46E-07,0.245721,0
3.2,2.69E-07,0.268517,0
3.4,2.93E-07,0.292634,0
3.6,3.17E-07,0.317116,0
3.8,3.43E-07,0.342709,0
4,3.72E-07,0.372155,0
4.2,4.02E-07,0.401607,0
4.4,4.33E-07,0.433349,0
4.6,4.69E-07,0.46909,0
4.8,5.05E-07,0.505332,0
5,5.42E-07,0.542146,0
5.2,5.80E-07,0.580089,0
5.4,6.22E-07,0.621578,0
5.6,6.73E-07,0.67264,0
5.8,7.15E-07,0.714651,0
6,7.62E-07,0.761882,0
6.2,8.06E-07,0.805875,0
6.4,8.50E-07,0.849581,0
6.6,8.92E-07,0.892088,0
6.8,9.46E-07,0.94575,0
7,9.82E-07,0.981928,0
7.2,1.03E-06,1.02584,0
7.4,1.07E-06,1.06823,0
7.6,1.12E-06,1.12161,0
7.8,1.16E-06,1.16158,0
8,1.21E-06,1.21114,0
8.2,1.26E-06,1.26004,0
8.4,1.33E-06,1.33451,0
8.6,1.39E-06,1.3851,0
8.8,1.43E-06,1.43177,0
9,1.49E-06,1.48572,0
9.2,1.53E-06,1.53096,0
9.4,1.59E-06,1.58912,0
9.6,1.64E-06,1.64288,0
9.8,1.71E-06,1.71369,0
10,1.74E-06,1.74256,0
0,5.57E-12,0.000005565,10
0.2,1.50E-08,0.015015,10
0.4,2.99E-08,0.029925,10
0.6,4.46E-08,0.044625,10
0.8,5.97E-08,0.059745,10
1,7.51E-08,0.075075,10
1.2,9.06E-08,0.090615,10
1.4,1.06E-07,0.106385,10
1.6,1.22E-07,0.12222,10
1.8,1.40E-07,0.140299,10
2,1.58E-07,0.157587,10
2.2,1.76E-07,0.175831,10
2.4,1.95E-07,0.194607,10
2.6,2.14E-07,0.214354,10
2.8,2.36E-07,0.23633,10
3,2.58E-07,0.258007,10
3.2,2.82E-07,0.281943,10
3.4,3.07E-07,0.307266,10
3.6,3.33E-07,0.332972,10
3.8,3.60E-07,0.359844,10
4,3.91E-07,0.390763,10
4.2,4.22E-07,0.421687,10
4.4,4.55E-07,0.455016,10
4.6,4.93E-07,0.492545,10
4.8,5.31E-07,0.530599,10
5,5.69E-07,0.569253,10
5.2,6.09E-07,0.609093,10
5.4,6.53E-07,0.652657,10
5.6,7.06E-07,0.706272,10
5.8,7.50E-07,0.750384,10
6,8.00E-07,0.799976,10
6.2,8.46E-07,0.846169,10
6.4,8.92E-07,0.89206,10
6.6,9.37E-07,0.936692,10
6.8,9.93E-07,0.993037,10
7,1.03E-06,1.03102,10
7.2,1.08E-06,1.07713,10
7.4,1.12E-06,1.12164,10
7.6,1.18E-06,1.17769,10
7.8,1.22E-06,1.21966,10
8,1.27E-06,1.2717,10
8.2,1.32E-06,1.32304,10
8.4,1.40E-06,1.40124,10
8.6,1.45E-06,1.45436,10
8.8,1.50E-06,1.50336,10
9,1.56E-06,1.56001,10
9.2,1.61E-06,1.60751,10
9.4,1.67E-06,1.66858,10
9.6,1.73E-06,1.72502,10
9.8,1.80E-06,1.79937,10
10,1.83E-06,1.82969,10
0,6.36E-12,0.00000636,50
0.2,1.72E-08,0.01716,50
0.4,3.42E-08,0.0342,50
0.6,0.000000051,0.051,50
0.8,6.83E-08,0.06828,50
1,8.58E-08,0.0858,50
1.2,1.04E-07,0.10356,50
1.4,1.22E-07,0.121583,50
1.6,1.40E-07,0.13968,50
1.8,1.60E-07,0.160342,50
2,1.80E-07,0.1801,50
2.2,2.01E-07,0.20095,50
2.4,2.22E-07,0.222408,50
2.6,2.45E-07,0.244976,50
2.8,2.70E-07,0.270091,50
3,2.95E-07,0.294865,50
3.2,3.22E-07,0.32222,50
3.4,3.51E-07,0.351161,50
3.6,3.81E-07,0.380539,50
3.8,4.11E-07,0.411251,50
4,4.47E-07,0.446586,50
4.2,4.82E-07,0.481928,50
4.4,5.20E-07,0.520019,50
4.6,5.63E-07,0.562908,50
4.8,6.06E-07,0.606398,50
5,6.51E-07,0.650575,50
5.2,6.96E-07,0.696107,50
5.4,7.46E-07,0.745894,50
5.6,8.07E-07,0.807168,50
5.8,8.58E-07,0.857581,50
6,9.14E-07,0.914258,50
6.2,9.67E-07,0.96705,50
6.4,1.02E-06,1.0195,50
6.6,1.07E-06,1.07051,50
6.8,1.13E-06,1.1349,50
7,1.18E-06,1.17831,50
7.2,1.23E-06,1.23101,50
7.4,1.28E-06,1.28187,50
7.6,1.35E-06,1.34593,50
7.8,1.39E-06,1.3939,50
8,1.45E-06,1.45337,50
8.2,1.51E-06,1.51205,50
8.4,1.60E-06,1.60141,50
8.6,1.66E-06,1.66212,50
8.8,1.72E-06,1.71812,50
9,1.78E-06,1.78286,50
9.2,1.84E-06,1.83715,50
9.4,1.91E-06,1.90694,50
9.6,1.97E-06,1.97146,50
9.8,2.06E-06,2.05643,50
10,2.09E-06,2.09107,50
0,7.69E-12,0.000007685,500
0.2,2.07E-08,0.020735,500
0.4,4.13E-08,0.041325,500
0.6,6.16E-08,0.061625,500
0.8,8.25E-08,0.082505,500
1,1.04E-07,0.103675,500
1.2,1.25E-07,0.125135,500
1.4,1.47E-07,0.146913,500
1.6,1.69E-07,0.16878,500
1.8,1.94E-07,0.193746,500
2,2.18E-07,0.21762,500
2.2,2.43E-07,0.242814,500
2.4,2.69E-07,0.268743,500
2.6,2.96E-07,0.296013,500
2.8,3.26E-07,0.32636,500
3,3.56E-07,0.356295,500
3.2,3.89E-07,0.38935,500
3.4,4.24E-07,0.424319,500
3.6,4.60E-07,0.459818,500
3.8,4.97E-07,0.496928,500
4,5.40E-07,0.539625,500
4.2,5.82E-07,0.58233,500
4.4,6.28E-07,0.628356,500
4.6,6.80E-07,0.68018,500
4.8,7.33E-07,0.732731,500
5,7.86E-07,0.786112,500
5.2,8.41E-07,0.841129,500
5.4,9.01E-07,0.901288,500
5.6,9.75E-07,0.975328,500
5.8,1.04E-06,1.03624,500
6,1.10E-06,1.10473,500
6.2,1.17E-06,1.16852,500
6.4,1.23E-06,1.23189,500
6.6,1.29E-06,1.29353,500
6.8,1.37E-06,1.37134,500
7,1.42E-06,1.4238,500
7.2,1.49E-06,1.48747,500
7.4,1.55E-06,1.54893,500
7.6,1.63E-06,1.62633,500
7.8,1.68E-06,1.68429,500
8,1.76E-06,1.75615,500
8.2,1.83E-06,1.82706,500
8.4,1.94E-06,1.93504,500
8.6,2.01E-06,2.0084,500
8.8,2.08E-06,2.07607,500
9,2.15E-06,2.15429,500
9.2,2.22E-06,2.21989,500
9.4,2.30E-06,2.30422,500
9.6,2.38E-06,2.38218,500
9.8,2.48E-06,2.48485,500
10,2.53E-06,2.52671,500
0,8.85E-12,0.000008851,1000
0.2,2.39E-08,0.023881,1000
0.4,4.76E-08,0.047595,1000
0.6,7.10E-08,0.070975,1000
0.8,9.50E-08,0.095023,1000
1,1.19E-07,0.119405,1000
1.2,1.44E-07,0.144121,1000
1.4,1.69E-07,0.169203,1000
1.6,1.94E-07,0.194388,1000
1.8,2.23E-07,0.223142,1000
2,2.51E-07,0.250639,1000
2.2,2.80E-07,0.279655,1000
2.4,3.10E-07,0.309518,1000
2.6,3.41E-07,0.340925,1000
2.8,3.76E-07,0.375877,1000
3,4.10E-07,0.410354,1000
3.2,4.48E-07,0.448423,1000
3.4,4.89E-07,0.488699,1000
3.6,5.30E-07,0.529584,1000
3.8,5.72E-07,0.572324,1000
4,6.21E-07,0.621499,1000
4.2,6.71E-07,0.670684,1000
4.4,7.24E-07,0.723693,1000
4.6,7.83E-07,0.78338,1000
4.8,8.44E-07,0.843904,1000
5,9.05E-07,0.905384,1000
5.2,9.69E-07,0.968749,1000
5.4,1.04E-06,1.03804,1000
5.6,1.12E-06,1.12331,1000
5.8,1.19E-06,1.19347,1000
6,1.27E-06,1.27234,1000
6.2,1.35E-06,1.34581,1000
6.4,1.42E-06,1.4188,1000
6.6,1.49E-06,1.48979,1000
6.8,1.58E-06,1.5794,1000
7,1.64E-06,1.63982,1000
7.2,1.71E-06,1.71315,1000
7.4,1.78E-06,1.78394,1000
7.6,1.87E-06,1.87308,1000
7.8,1.94E-06,1.93984,1000
8,2.02E-06,2.0226,1000
8.2,2.10E-06,2.10427,1000
8.4,2.23E-06,2.22863,1000
8.6,2.31E-06,2.31312,1000
8.8,2.39E-06,2.39106,1000
9,2.48E-06,2.48115,1000
9.2,2.56E-06,2.5567,1000
9.4,2.65E-06,2.65383,1000
9.6,2.74E-06,2.74361,1000
9.8,2.86E-06,2.86186,1000
10,2.91E-06,2.91008,1000
